 ************************************************************************
 *                                                                      *
 *                                                                      *
 *Welcome to HYDRUS-1D                                                  *
 *                                                                      *
 *                                                                      *
 ************************************************************************


 Program parameters
 ==================
 Max. iterations.....................(MIT)...............  0
 No. of observations.................(NOBb).............1529


 Soil hydraulic properties
 =========================
 Residual moisture content...........(WCR)............     0.084
 Saturated moisture content..........(WCS)............     0.338
 First coefficient...................(ALPHA)..........     0.124
 Second coefficient..................(N)..............     1.850
 Saturated conductivity..............(CONDS).......... .6013E+02
 Pore connectivity factor............(L)..............     0.500


 Observed Quantity 
 ==================
    Obs     Time    Quantity     Type  Position   Weight
   463   1183.000      0.133       2     1      1.000000
   464   1184.000      0.133       2     1      1.000000
   465   1185.000      0.134       2     1      1.000000
   466   1186.000      0.134       2     1      1.000000
   467   1187.000      0.133       2     1      1.000000
   468   1188.000      0.131       2     1      1.000000
   469   1189.000      0.129       2     1      1.000000
   470   1190.000      0.128       2     1      1.000000
   471   1191.000      0.126       2     1      1.000000
   472   1192.000      0.123       2     1      1.000000
   473   1193.000      0.122       2     1      1.000000
   474   1194.000      0.122       2     1      1.000000
   475   1195.000      0.119       2     1      1.000000
   476   1196.000      0.155       2     1      1.000000
   477   1197.000      0.229       2     1      1.000000
   478   1198.000      0.220       2     1      1.000000
   479   1199.000      0.216       2     1      1.000000
   480   1200.000      0.215       2     1      1.000000
   481   1201.000      0.214       2     1      1.000000
   482   1202.000      0.213       2     1      1.000000
   483   1203.000      0.211       2     1      1.000000
   484   1204.000      0.210       2     1      1.000000
   485   1205.000      0.209       2     1      1.000000
   486   1206.000      0.208       2     1      1.000000
   487   1207.000      0.207       2     1      1.000000
   488   1208.000      0.207       2     1      1.000000
   489   1209.000      0.204       2     1      1.000000
   490   1210.000      0.202       2     1      1.000000
   491   1211.000      0.199       2     1      1.000000
   492   1212.000      0.193       2     1      1.000000
   493   1213.000      0.187       2     1      1.000000
   494   1214.000      0.181       2     1      1.000000
   495   1215.000      0.175       2     1      1.000000
   496   1216.000      0.167       2     1      1.000000
   497   1217.000      0.160       2     1      1.000000
   498   1218.000      0.153       2     1      1.000000
   499   1219.000      0.146       2     1      1.000000
   500   1220.000      0.142       2     1      1.000000
   501   1221.000      0.139       2     1      1.000000
   502   1222.000      0.138       2     1      1.000000
   503   1223.000      0.136       2     1      1.000000
   504   1224.000      0.136       2     1      1.000000
   505   1225.000      0.135       2     1      1.000000
   506   1226.000      0.134       2     1      1.000000
   507   1227.000      0.134       2     1      1.000000
   508   1228.000      0.133       2     1      1.000000
