

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

    94.00000 -0.241232E+01  0.144756E+00 -0.241232E+01  0.144756E+00 -0.199689E+01    -83.393    -76.595    -62.317      94
    95.00000 -0.241232E+01  0.144756E+00 -0.241232E+01  0.144756E+00 -0.200006E+01    -82.922    -76.538    -62.747      95
    96.00000 -0.241232E+01  0.144756E+00 -0.241232E+01  0.144756E+00 -0.200317E+01    -82.527    -76.491    -63.171      96
    97.00000 -0.241232E+01  0.144756E+00 -0.241232E+01  0.144756E+00 -0.200622E+01    -82.225    -76.469    -63.588      97
    98.00000 -0.241232E+01  0.144756E+00 -0.241232E+01  0.144756E+00 -0.200921E+01    -82.000    -76.470    -63.996      98
    99.00000 -0.241232E+01  0.144756E+00 -0.241232E+01  0.144756E+00 -0.201215E+01    -81.838    -76.493    -64.394      99
   100.00000 -0.241232E+01  0.144756E+00 -0.241232E+01  0.144756E+00 -0.201504E+01    -81.726    -76.533    -64.782     100
   101.00000 -0.241232E+01  0.144936E+00 -0.241232E+01  0.144936E+00 -0.201788E+01    -81.655    -76.588    -65.159     101
   102.00000 -0.241232E+01  0.145108E+00 -0.241232E+01  0.145108E+00 -0.202066E+01    -81.706    -76.710    -65.524     102
   103.00000 -0.241232E+01  0.145443E+00 -0.241232E+01  0.145443E+00 -0.202339E+01    -81.761    -76.832    -65.878     103
   104.00000 -0.241232E+01  0.146581E+00 -0.241232E+01  0.146581E+00 -0.202608E+01    -81.921    -77.013    -66.220     104
   105.00000 -0.241232E+01  0.148938E+00 -0.241232E+01  0.148938E+00 -0.202872E+01    -82.463    -77.428    -66.552     105
   106.00000 -0.241232E+01  0.152444E+00 -0.241232E+01  0.152444E+00 -0.203132E+01    -83.529    -78.170    -66.875     106
   107.00000 -0.241232E+01  0.157075E+00 -0.241232E+01  0.157075E+00 -0.203387E+01    -85.044    -79.212    -67.189     107
   108.00000 -0.241232E+01  0.162884E+00 -0.241232E+01  0.162884E+00 -0.203638E+01    -86.993    -80.551    -67.496     108
   109.00000 -0.241232E+01  0.169342E+00 -0.241232E+01  0.169342E+00 -0.203885E+01    -89.394    -82.200    -67.798     109
   110.00000 -0.241232E+01  0.176176E+00 -0.241232E+01  0.176176E+00 -0.204128E+01    -91.976    -83.979    -68.098     110
   111.00000 -0.241232E+01  0.182783E+00 -0.241232E+01  0.182783E+00 -0.204366E+01    -94.680    -85.833    -68.399     111
   112.00000 -0.241232E+01  0.188654E+00 -0.241232E+01  0.188654E+00 -0.204600E+01    -97.541    -87.629    -68.701     112
   113.00000 -0.241232E+01  0.193057E+00 -0.241232E+01  0.193057E+00 -0.204830E+01   -100.336    -89.321    -69.009     113
   114.00000 -0.241232E+01  0.196087E+00 -0.241232E+01  0.196087E+00 -0.205056E+01   -102.002    -90.510    -69.322     114
   115.00000 -0.241232E+01  0.198046E+00 -0.241232E+01  0.198046E+00 -0.205277E+01   -102.756    -91.236    -69.641     115
   116.00000 -0.241232E+01  0.199113E+00 -0.241232E+01  0.199113E+00 -0.205494E+01   -102.782    -91.579    -69.967     116
   117.00000 -0.241232E+01  0.199113E+00 -0.241232E+01  0.199113E+00 -0.205706E+01   -102.248    -91.606    -70.298     117
   118.00000 -0.241232E+01  0.199113E+00 -0.241232E+01  0.199113E+00 -0.205914E+01   -101.060    -91.259    -70.633     118
   119.00000 -0.241232E+01  0.199113E+00 -0.241232E+01  0.199113E+00 -0.206116E+01   -100.086    -90.998    -70.972     119
   120.00000 -0.241232E+01  0.199113E+00 -0.241232E+01  0.199113E+00 -0.206314E+01    -99.217    -90.738    -71.312     120
   121.00000 -0.241232E+01  0.199113E+00 -0.241232E+01  0.199113E+00 -0.206508E+01    -98.496    -90.525    -71.652     121
   121.50000 -0.361775E+01  0.199113E+00 -0.361775E+01  0.199113E+00 -0.206604E+01    -10.810    -13.309    -71.823     122
   123.00000 -0.361775E+01  0.199113E+00 -0.361775E+01  0.199113E+00 -0.207339E+01    -29.824    -26.759    -41.844     123
   124.00000 -0.361775E+01  0.199113E+00 -0.361775E+01  0.199113E+00 -0.212141E+01    -33.531    -30.190    -29.535     124
   125.00000 -0.361775E+01  0.199664E+00 -0.361775E+01  0.199664E+00 -0.219260E+01    -36.152    -32.624    -28.695     125
   126.00000 -0.361775E+01  0.200139E+00 -0.361775E+01  0.200139E+00 -0.225925E+01    -38.107    -34.506    -29.276     126
   127.00000 -0.361775E+01  0.200566E+00 -0.361775E+01  0.200566E+00 -0.231689E+01    -39.844    -36.122    -30.185     127
   128.00000 -0.361775E+01  0.201882E+00 -0.361775E+01  0.201882E+00 -0.236782E+01    -41.288    -37.496    -31.297     128
   129.00000 -0.361775E+01  0.204449E+00 -0.361775E+01  0.204449E+00 -0.241406E+01    -42.702    -38.829    -32.364     129
   130.00000 -0.361775E+01  0.208411E+00 -0.361775E+01  0.208411E+00 -0.245574E+01    -44.081    -39.934    -33.401     130
   131.00000 -0.361775E+01  0.213986E+00 -0.361775E+01  0.213986E+00 -0.249311E+01    -45.464    -41.219    -34.382     131
   132.00000 -0.361775E+01  0.220432E+00 -0.361775E+01  0.220432E+00 -0.252641E+01    -46.877    -42.518    -35.313     132
   133.00000 -0.361775E+01  0.227421E+00 -0.361775E+01  0.227421E+00 -0.255588E+01    -48.268    -43.783    -36.185     133
   134.00000 -0.361775E+01  0.234414E+00 -0.361775E+01  0.234414E+00 -0.258182E+01    -49.777    -45.065    -36.995     134
   135.00000 -0.361775E+01  0.240952E+00 -0.361775E+01  0.240952E+00 -0.260469E+01    -51.221    -46.316    -37.780     135
   136.00000 -0.361775E+01  0.246880E+00 -0.361775E+01  0.246880E+00 -0.262621E+01    -52.539    -47.504    -38.753     136
   137.00000 -0.361775E+01  0.251285E+00 -0.361775E+01  0.251285E+00 -0.264644E+01    -53.716    -48.608    -39.634     137
   138.00000 -0.361775E+01  0.253853E+00 -0.361775E+01  0.253853E+00 -0.266545E+01    -54.604    -49.526    -40.501     138
   139.00000 -0.361775E+01  0.254634E+00 -0.361775E+01  0.254634E+00 -0.268329E+01    -55.205    -50.244    -41.318     139
   140.00000 -0.361775E+01  0.254634E+00 -0.361775E+01  0.254634E+00 -0.270004E+01    -55.553    -50.768    -42.097     140
   141.00000 -0.361775E+01  0.254634E+00 -0.361775E+01  0.254634E+00 -0.271575E+01    -55.854    -51.225    -42.830     141
   142.00000 -0.361775E+01  0.254634E+00 -0.361775E+01  0.254634E+00 -0.273048E+01    -56.210    -51.690    -43.521     142
   143.00000 -0.361775E+01  0.254634E+00 -0.361775E+01  0.254634E+00 -0.274430E+01    -56.593    -52.153    -44.168     143
   144.00000 -0.361775E+01  0.254634E+00 -0.361775E+01  0.254634E+00 -0.275726E+01    -57.002    -52.616    -44.776     144
   145.00000 -0.361775E+01  0.254634E+00 -0.361775E+01  0.254634E+00 -0.276942E+01    -57.420    -53.077    -45.346     145
   146.00000 -0.361775E+01  0.254634E+00 -0.361775E+01  0.254634E+00 -0.278082E+01    -57.843    -53.533    -45.882     146
   147.00000 -0.361775E+01  0.254634E+00 -0.361775E+01  0.254634E+00 -0.279151E+01    -58.267    -53.983    -46.386     147
   148.00000 -0.361775E+01  0.254634E+00 -0.361775E+01  0.254634E+00 -0.280153E+01    -58.686    -54.425    -46.860     148
   149.00000 -0.361775E+01  0.254928E+00 -0.361775E+01  0.254928E+00 -0.281091E+01    -59.101    -54.859    -47.309     149
   150.00000 -0.361775E+01  0.255198E+00 -0.361775E+01  0.255198E+00 -0.281988E+01    -59.565    -55.322    -47.833     150
   151.00000 -0.361775E+01  0.255633E+00 -0.361775E+01  0.255633E+00 -0.282861E+01    -59.999    -55.764    -48.363     151
   152.00000 -0.361775E+01  0.256570E+00 -0.361775E+01  0.256570E+00 -0.283711E+01    -60.482    -56.228    -48.861     152
   153.00000 -0.361775E+01  0.258168E+00 -0.361775E+01  0.258168E+00 -0.284540E+01    -61.069    -56.748    -49.342     153
   154.00000 -0.361775E+01  0.260715E+00 -0.361775E+01  0.260715E+00 -0.285348E+01    -61.785    -57.345    -49.808     154
   155.00000 -0.361775E+01  0.265061E+00 -0.361775E+01  0.265061E+00 -0.286136E+01    -62.700    -58.065    -50.264     155
   156.00000 -0.361775E+01  0.270552E+00 -0.361775E+01  0.270552E+00 -0.286904E+01    -64.022    -59.041    -50.714     156
   157.00000 -0.361775E+01  0.276278E+00 -0.361775E+01  0.276278E+00 -0.287651E+01    -65.526    -60.164    -51.164     157
   158.00000 -0.361775E+01  0.282452E+00 -0.361775E+01  0.282452E+00 -0.288379E+01    -66.994    -61.309    -51.617     158
   159.00000 -0.361775E+01  0.287649E+00 -0.361775E+01  0.287649E+00 -0.289086E+01    -68.525    -62.521    -52.076     159
   160.00000 -0.361775E+01  0.292367E+00 -0.361775E+01  0.292367E+00 -0.289772E+01    -69.673    -63.519    -52.542     160
   161.00000 -0.361775E+01  0.297443E+00 -0.361775E+01  0.297443E+00 -0.290437E+01    -70.715    -64.449    -53.014     161
   162.00000 -0.361775E+01  0.299897E+00 -0.361775E+01  0.299897E+00 -0.291081E+01    -71.835    -65.425    -53.491     162
   163.00000 -0.361775E+01  0.301364E+00 -0.361775E+01  0.301364E+00 -0.291703E+01    -72.103    -65.867    -53.970     163
   164.00000 -0.361775E+01  0.301478E+00 -0.361775E+01  0.301478E+00 -0.292304E+01    -72.292    -66.232    -54.449     164
   165.00000 -0.361775E+01  0.301478E+00 -0.361775E+01  0.301478E+00 -0.292884E+01    -72.059    -66.314    -54.922     165
   166.00000 -0.361775E+01  0.301478E+00 -0.361775E+01  0.301478E+00 -0.293443E+01    -71.960    -66.445    -55.387     166
   167.00000 -0.361775E+01  0.301478E+00 -0.361775E+01  0.301478E+00 -0.293982E+01    -71.870    -66.563    -55.841     167
   168.00000 -0.361775E+01  0.301478E+00 -0.361775E+01  0.301478E+00 -0.294501E+01    -71.857    -66.707    -56.281     168
   169.00000 -0.361775E+01  0.301478E+00 -0.361775E+01  0.301478E+00 -0.295001E+01    -71.881    -66.861    -56.706     169
