 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  16.10.2025    Time:  10:45:53
 Units: L = cm   , T = hours, M = mmol 



                               Node( 31)

         time            h        theta    Temp  
        246.0000      -56.91  0.1353   20.000
        247.0000      -57.25  0.1351   20.000
        248.0000      -57.59  0.1348   20.000
        249.0000      -57.92  0.1346   20.000
        250.0000      -58.25  0.1343   20.000
        251.0000      -58.58  0.1341   20.000
        252.0000      -58.91  0.1338   20.000
        253.0000      -59.24  0.1336   20.000
        254.0000      -59.57  0.1333   20.000
        255.0000      -59.90  0.1330   20.000
        256.0000      -60.24  0.1329   20.000
        257.0000      -60.57  0.1327   20.000
        258.0000      -60.91  0.1325   20.000
        259.0000      -61.24  0.1324   20.000
        260.0000      -61.55  0.1322   20.000
        261.0000      -61.86  0.1320   20.000
        262.0000      -62.17  0.1319   20.000
        263.0000      -62.46  0.1317   20.000
        264.0000      -62.75  0.1316   20.000
        265.0000      -63.04  0.1314   20.000
        266.0000      -63.33  0.1313   20.000
        267.0000      -63.61  0.1312   20.000
        268.0000      -63.89  0.1310   20.000
        269.0000      -64.16  0.1309   20.000
        270.0000      -64.43  0.1307   20.000
        271.0000      -64.69  0.1306   20.000
        272.0000      -64.96  0.1305   20.000
        273.0000      -65.22  0.1303   20.000
        274.0000      -65.48  0.1302   20.000
        275.0000      -65.75  0.1301   20.000
        276.0000      -66.01  0.1299   20.000
        277.0000      -66.29  0.1298   20.000
        278.0000      -66.56  0.1297   20.000
        279.0000      -66.84  0.1295   20.000
        280.0000      -67.12  0.1294   20.000
        281.0000      -67.40  0.1292   20.000
        282.0000      -67.68  0.1291   20.000
        283.0000      -67.95  0.1290   20.000
        284.0000      -68.21  0.1288   20.000
        285.0000      -68.47  0.1287   20.000
        286.0000      -68.72  0.1286   20.000
        287.0000      -68.97  0.1285   20.000
        288.0000      -69.21  0.1283   20.000
        289.0000      -69.44  0.1282   20.000
        290.0000      -69.67  0.1281   20.000
        291.0000      -69.89  0.1280   20.000
        292.0000      -70.11  0.1279   20.000
        293.0000      -70.33  0.1278   20.000
        294.0000      -70.54  0.1277   20.000
        295.0000      -70.75  0.1276   20.000
        296.0000      -70.96  0.1274   20.000
        297.0000      -71.18  0.1273   20.000
        298.0000      -71.40  0.1272   20.000
        299.0000      -71.65  0.1271   20.000
        300.0000      -71.92  0.1270   20.000
        301.0000      -72.22  0.1268   20.000
        302.0000      -72.57  0.1266   20.000
        303.0000      -72.94  0.1264   20.000
        304.0000      -73.36  0.1262   20.000
        305.0000      -73.80  0.1260   20.000
        306.0000      -74.26  0.1258   20.000
        307.0000      -74.73  0.1255   20.000
        308.0000      -75.20  0.1253   20.000
        309.0000      -75.67  0.1251   20.000
        310.0000      -76.12  0.1249   20.000
        311.0000      -76.55  0.1248   20.000
        312.0000      -76.95  0.1246   20.000
        313.0000      -77.33  0.1245   20.000
        314.0000      -77.69  0.1244   20.000
        315.0000      -78.03  0.1243   20.000
        316.0000      -78.35  0.1242   20.000
        317.0000      -78.65  0.1241   20.000
        318.0000      -78.95  0.1240   20.000
        319.0000      -79.23  0.1239   20.000
        320.0000      -79.50  0.1238   20.000
        321.0000      -79.77  0.1237   20.000
        322.0000      -80.05  0.1236   20.000
        323.0000      -80.34  0.1235   20.000
        324.0000      -80.66  0.1234   20.000
        325.0000      -81.01  0.1233   20.000
        326.0000      -81.38  0.1232   20.000
        327.0000      -81.78  0.1230   20.000
        328.0000      -82.19  0.1229   20.000
        329.0000      -82.62  0.1228   20.000
        330.0000      -83.04  0.1226   20.000
        331.0000      -83.45  0.1225   20.000
        332.0000      -83.86  0.1224   20.000
        333.0000      -84.25  0.1222   20.000
        334.0000      -84.63  0.1221   20.000
        335.0000      -84.99  0.1220   20.000
        336.0000      -85.34  0.1219   20.000
        337.0000      -85.67  0.1218   20.000
        338.0000      -85.99  0.1217   20.000
        339.0000      -86.30  0.1215   20.000
        340.0000      -86.59  0.1215   20.000
        341.0000      -86.88  0.1214   20.000
        342.0000      -87.15  0.1213   20.000
        343.0000      -87.42  0.1212   20.000
        344.0000      -87.68  0.1211   20.000
        345.0000      -87.93  0.1210   20.000
        346.0000      -88.18  0.1209   20.000
        347.0000      -88.43  0.1208   20.000
        348.0000      -88.68  0.1208   20.000
        349.0000      -88.95  0.1207   20.000
        350.0000      -89.24  0.1206   20.000
        351.0000      -89.55  0.1205   20.000
        352.0000      -89.89  0.1204   20.000
        353.0000      -90.26  0.1202   20.000
        354.0000      -90.65  0.1201   20.000
        355.0000      -91.05  0.1200   20.000
        356.0000      -91.47  0.1198   20.000
        357.0000      -91.87  0.1197   20.000
        358.0000      -92.28  0.1196   20.000
        359.0000      -92.67  0.1194   20.000
        360.0000      -93.05  0.1193   20.000
        361.0000      -93.42  0.1192   20.000
        362.0000      -93.78  0.1191   20.000
        363.0000      -94.12  0.1190   20.000
        364.0000      -94.46  0.1188   20.000
        365.0000      -94.78  0.1187   20.000
        366.0000      -95.11  0.1186   20.000
        367.0000      -95.41  0.1185   20.000
        368.0000      -95.73  0.1185   20.000
        369.0000      -96.03  0.1184   20.000
        370.0000      -96.34  0.1183   20.000
        371.0000      -96.66  0.1183   20.000
        372.0000      -97.01  0.1182   20.000
        373.0000      -97.39  0.1181   20.000
        374.0000      -97.81  0.1180   20.000
        375.0000      -98.26  0.1179   20.000
        376.0000      -98.73  0.1178   20.000
        377.0000      -99.22  0.1177   20.000
        378.0000      -99.73  0.1176   20.000
        379.0000     -100.24  0.1175   20.000
        380.0000     -100.74  0.1174   20.000
        381.0000     -101.23  0.1173   20.000
        382.0000     -101.71  0.1172   20.000
        383.0000     -102.17  0.1171   20.000
        384.0000     -102.61  0.1170   20.000
        385.0000     -103.03  0.1169   20.000
        386.0000     -103.44  0.1168   20.000
        387.0000     -103.84  0.1167   20.000
        388.0000     -104.22  0.1166   20.000
        389.0000     -104.58  0.1165   20.000
        390.0000     -104.94  0.1165   20.000
        391.0000     -105.29  0.1164   20.000
        392.0000     -105.64  0.1163   20.000
        393.0000     -105.98  0.1162   20.000
        394.0000     -106.33  0.1162   20.000
        395.0000     -106.68  0.1161   20.000
        396.0000     -107.06  0.1160   20.000
        397.0000     -107.46  0.1159   20.000
        398.0000     -107.88  0.1158   20.000
        399.0000     -108.33  0.1157   20.000
        400.0000     -108.81  0.1156   20.000
        401.0000     -109.31  0.1155   20.000
        402.0000     -109.81  0.1154   20.000
        403.0000     -110.32  0.1153   20.000
        404.0000     -110.83  0.1152   20.000
        405.0000     -111.32  0.1151   20.000
        406.0000      -40.25  0.1509   20.000
        407.0000      -31.37  0.1646   20.000
        408.0000      -32.58  0.1625   20.000
        409.0000      -33.89  0.1603   20.000
        410.0000      -34.82  0.1587   20.000
        411.0000      -35.61  0.1574   20.000
        412.0000      -36.34  0.1561   20.000
        413.0000      -37.08  0.1548   20.000
        414.0000      -37.80  0.1537   20.000
        415.0000      -38.55  0.1528   20.000
        416.0000      -39.31  0.1520   20.000
        417.0000      -40.07  0.1511   20.000
        418.0000      -40.85  0.1502   20.000
        419.0000      -41.64  0.1493   20.000
        420.0000      -42.42  0.1484   20.000
        421.0000      -43.21  0.1475   20.000
        422.0000      -44.00  0.1466   20.000
        423.0000      -44.80  0.1456   20.000
        424.0000      -45.61  0.1447   20.000
        425.0000      -46.41  0.1438   20.000
        426.0000      -47.19  0.1429   20.000
        427.0000      -47.94  0.1422   20.000
        428.0000      -48.64  0.1417   20.000
        429.0000      -49.28  0.1412   20.000
        430.0000      -49.87  0.1407   20.000
        431.0000      -50.43  0.1403   20.000
        432.0000      -50.96  0.1399   20.000
        433.0000      -51.47  0.1395   20.000
        434.0000      -51.96  0.1391   20.000
        435.0000      -52.43  0.1388   20.000
        436.0000      -52.88  0.1384   20.000
        437.0000      -53.32  0.1381   20.000
        438.0000      -53.74  0.1378   20.000
        439.0000      -54.16  0.1374   20.000
        440.0000      -54.58  0.1371   20.000
        441.0000      -55.00  0.1368   20.000
        442.0000      -55.46  0.1364   20.000
        443.0000      -55.95  0.1361   20.000
        444.0000      -56.50  0.1356   20.000
        445.0000      -57.10  0.1352   20.000
        446.0000      -57.76  0.1347   20.000
        447.0000      -58.46  0.1341   20.000
        448.0000      -59.19  0.1336   20.000
        449.0000      -59.95  0.1330   20.000
        450.0000      -60.70  0.1326   20.000
        451.0000      -61.41  0.1323   20.000
        452.0000      -62.06  0.1319   20.000
        453.0000      -62.65  0.1316   20.000
        454.0000      -63.19  0.1314   20.000
        455.0000      -63.69  0.1311   20.000
        456.0000      -64.16  0.1309   20.000
        457.0000      -64.60  0.1307   20.000
        458.0000      -65.02  0.1304   20.000
        459.0000      -65.42  0.1302   20.000
        460.0000      -65.80  0.1300   20.000
        461.0000      -66.17  0.1299   20.000
        462.0000      -66.53  0.1297   20.000
        463.0000      -66.88  0.1295   20.000
        464.0000      -67.22  0.1293   20.000
        465.0000      -67.58  0.1292   20.000
        466.0000      -67.95  0.1290   20.000
        467.0000      -68.37  0.1288   20.000
        468.0000      -68.84  0.1285   20.000
        469.0000      -69.38  0.1282   20.000
        470.0000      -69.97  0.1279   20.000
        471.0000      -70.62  0.1276   20.000
        472.0000      -71.28  0.1273   20.000
        473.0000      -71.96  0.1269   20.000
        474.0000      -72.61  0.1266   20.000
        475.0000      -73.24  0.1263   20.000
        476.0000      -73.82  0.1260   20.000
        477.0000      -74.38  0.1257   20.000
        478.0000      -25.44  0.1782   20.000
        479.0000      -26.05  0.1767   20.000
        480.0000      -27.77  0.1724   20.000
        481.0000      -29.16  0.1689   20.000
        482.0000      -30.44  0.1662   20.000
        483.0000      -31.74  0.1640   20.000
        484.0000      -32.97  0.1619   20.000
        485.0000      -34.13  0.1599   20.000
        486.0000      -35.22  0.1580   20.000
        487.0000      -36.23  0.1563   20.000
        488.0000      -37.15  0.1547   20.000
        489.0000      -37.99  0.1535   20.000
        490.0000      -38.85  0.1525   20.000
        491.0000      -39.70  0.1515   20.000
        492.0000      -40.55  0.1505   20.000
        493.0000      -41.39  0.1496   20.000
        494.0000      -42.27  0.1486   20.000
        495.0000      -43.17  0.1475   20.000
        496.0000      -44.05  0.1465   20.000
        497.0000      -44.95  0.1455   20.000
        498.0000      -45.81  0.1445   20.000
        499.0000      -46.61  0.1436   20.000
        500.0000      -47.34  0.1427   20.000
        501.0000      -48.01  0.1421   20.000
        502.0000      -48.64  0.1417   20.000
        503.0000      -49.21  0.1412   20.000
        504.0000      -49.75  0.1408   20.000
        505.0000      -50.27  0.1404   20.000
        506.0000      -50.77  0.1400   20.000
        507.0000      -51.25  0.1397   20.000
        508.0000      -51.72  0.1393   20.000
        509.0000      -52.18  0.1390   20.000
        510.0000      -52.63  0.1386   20.000
        511.0000      -53.06  0.1383   20.000
        512.0000      -53.49  0.1379   20.000
        513.0000      -53.92  0.1376   20.000
        514.0000      -54.35  0.1373   20.000
        515.0000      -54.79  0.1370   20.000
        516.0000      -55.26  0.1366   20.000
        517.0000      -55.74  0.1362   20.000
        518.0000      -56.22  0.1359   20.000
        519.0000      -56.72  0.1355   20.000
        520.0000      -57.24  0.1351   20.000
        521.0000      -57.77  0.1347   20.000
        522.0000      -58.28  0.1343   20.000
        523.0000      -58.75  0.1339   20.000
        524.0000      -59.19  0.1336   20.000
        525.0000      -59.60  0.1333   20.000
        526.0000      -59.98  0.1330   20.000
        527.0000      -60.35  0.1328   20.000
        528.0000      -60.70  0.1326   20.000
        529.0000      -61.04  0.1325   20.000
        530.0000      -61.38  0.1323   20.000
        531.0000      -61.70  0.1321   20.000
        532.0000      -62.03  0.1320   20.000
        533.0000      -62.35  0.1318   20.000
        534.0000      -62.67  0.1316   20.000
        535.0000      -63.00  0.1315   20.000
        536.0000      -63.32  0.1313   20.000
        537.0000      -63.65  0.1311   20.000
        538.0000      -64.00  0.1310   20.000
        539.0000      -64.41  0.1308   20.000
        540.0000      -64.91  0.1305   20.000
        541.0000      -65.48  0.1302   20.000
        542.0000      -66.13  0.1299   20.000
        543.0000      -66.83  0.1295   20.000
        544.0000      -67.59  0.1292   20.000
        545.0000      -68.27  0.1288   20.000
        546.0000      -68.92  0.1285   20.000
        547.0000      -69.51  0.1282   20.000
        548.0000      -70.08  0.1279   20.000
        549.0000      -52.06  0.1391   20.000
        550.0000      -37.79  0.1537   20.000
        551.0000      -36.94  0.1551   20.000
        552.0000      -37.33  0.1544   20.000
        553.0000      -37.96  0.1535   20.000
        554.0000      -38.73  0.1527   20.000
        555.0000      -39.39  0.1519   20.000
        556.0000      -40.03  0.1511   20.000
        557.0000      -40.64  0.1504   20.000
        558.0000      -41.28  0.1497   20.000
        559.0000      -41.91  0.1490   20.000
        560.0000      -42.55  0.1482   20.000
        561.0000      -43.21  0.1475   20.000
        562.0000      -43.91  0.1467   20.000
        563.0000      -44.66  0.1458   20.000
        564.0000      -45.47  0.1449   20.000
        565.0000      -46.31  0.1439   20.000
        566.0000      -47.22  0.1429   20.000
        567.0000      -48.18  0.1420   20.000
        568.0000      -49.13  0.1413   20.000
        569.0000      -50.10  0.1405   20.000
        570.0000      -51.04  0.1398   20.000
        571.0000      -51.96  0.1391   20.000
        572.0000      -52.82  0.1385   20.000
        573.0000      -53.60  0.1379   20.000
        574.0000      -54.29  0.1373   20.000
        575.0000      -54.93  0.1368   20.000
        576.0000      -55.51  0.1364   20.000
        577.0000      -56.07  0.1360   20.000
        578.0000      -56.58  0.1356   20.000
        579.0000      -57.07  0.1352   20.000
        580.0000      -57.52  0.1349   20.000
        581.0000      -57.95  0.1345   20.000
        582.0000      -58.37  0.1342   20.000
        583.0000      -58.78  0.1339   20.000
        584.0000      -59.20  0.1336   20.000
        585.0000      -18.50  0.2013   20.000
        586.0000      -22.05  0.1884   20.000
        587.0000      -24.50  0.1806   20.000
        588.0000      -26.76  0.1749   20.000
        589.0000      -28.77  0.1699   20.000
        590.0000      -30.38  0.1663   20.000
        591.0000      -31.90  0.1637   20.000
        592.0000      -33.49  0.1610   20.000
        593.0000      -34.88  0.1586   20.000
        594.0000      -36.18  0.1564   20.000
        595.0000      -37.30  0.1544   20.000
        596.0000      -38.30  0.1531   20.000
        597.0000      -39.25  0.1520   20.000
        598.0000      -40.14  0.1510   20.000
        599.0000      -40.96  0.1501   20.000
        600.0000      -41.73  0.1492   20.000
        601.0000      -42.47  0.1483   20.000
        602.0000      -43.17  0.1475   20.000
        603.0000      -43.83  0.1468   20.000
        604.0000      -44.46  0.1460   20.000
        605.0000      -45.07  0.1453   20.000
        606.0000      -45.66  0.1447   20.000
        607.0000      -46.23  0.1440   20.000
        608.0000      -46.79  0.1434   20.000
        609.0000      -47.37  0.1427   20.000
        610.0000      -48.00  0.1422   20.000
        611.0000      -48.71  0.1416   20.000
        612.0000      -49.50  0.1410   20.000
        613.0000      -50.35  0.1404   20.000
        614.0000      -51.27  0.1396   20.000
        615.0000      -52.24  0.1389   20.000
        616.0000      -53.22  0.1382   20.000
        617.0000      -54.16  0.1374   20.000
        618.0000      -55.07  0.1367   20.000
        619.0000      -55.93  0.1361   20.000
        620.0000      -56.69  0.1355   20.000
        621.0000      -57.36  0.1350   20.000
        622.0000      -40.20  0.1510   20.000
        623.0000      -33.73  0.1606   20.000
        624.0000      -33.82  0.1604   20.000
        625.0000      -34.44  0.1594   20.000
        626.0000      -35.17  0.1581   20.000
        627.0000      -35.87  0.1569   20.000
        628.0000      -36.64  0.1556   20.000
        629.0000      -37.36  0.1544   20.000
        630.0000      -38.10  0.1534   20.000
        631.0000      -38.87  0.1525   20.000
